tunnus;omvorm;aadress
77901:005:0001;Riigiomand;Valga vald, Hargla küla, Lille
77901:005:0009;Riigiomand;Valga vald, Hargla küla, Karula metskond 44
77901:005:0048;Riigiomand;Valga vald, Hargla küla, Karula metskond 17
77901:005:0146;Riigiomand;Valga vald, Hargla küla, 23208 Hargla kool-Kõivu tee
77901:005:0174;Riigiomand;Valga vald, Hargla küla, 23208 Hargla kool-Kõivu tee
77901:005:0330;Riigiomand;Valga vald, Kalliküla, 67 Võru-Mõniste-Valga tee
77901:005:0570;Riigiomand;Valga vald, Hargla küla, 23208 Hargla kool-Kõivu tee
77901:005:0622;Riigiomand;Valga vald, Hargla küla, Karula metskond 4
85501:001:0019;Riigiomand;Valga vald, Hargla küla, Liiviku
85501:001:0020;Riigiomand;Valga vald, Taheva küla, Võpsiku
85501:001:0093;Riigiomand;Valga vald, Laanemetsa küla, Karjääriveere
85501:001:0118;Riigiomand;Valga vald, Tsirgumäe küla, Metsanurga
85501:001:0133;Riigiomand;Valga vald, Laanemetsa küla, Võseriku
85501:001:0264;Riigiomand;Valga vald, Laanemetsa küla, 23101 Koikküla-Koiva-Laanemetsa tee
85501:001:0345;Riigiomand;Valga vald, Taheva küla, Ruudu
85501:001:0418;Riigiomand;Valga vald, Taheva küla, 67 Võru-Mõniste-Valga tee
85501:001:0448;Riigiomand;Valga vald, Laanemetsa küla, 67 Võru-Mõniste-Valga tee
85501:001:0484;Riigiomand;Valga vald, Laanemetsa küla, 23210 Laanemetsa-Koobassaare tee
85501:001:0525;Riigiomand;Valga vald, Laanemetsa küla, 23210 Laanemetsa-Koobassaare tee
85501:001:0670;Riigiomand;Valga vald, Taheva küla, 67 Võru-Mõniste-Valga tee
85501:001:0723;Riigiomand;Valga vald, Hargla küla, Mustjõgi
85501:001:0806;Riigiomand;Valga vald, Sooblase küla, 23112 Sooblase-Tsirgumäe tee
85501:001:0821;Riigiomand;Valga vald, Sooblase küla, 67 Võru-Mõniste-Valga tee
85501:001:0824;Riigiomand;Valga vald, Laanemetsa küla, 67 Võru-Mõniste-Valga tee
85501:001:0863;Riigiomand;Valga vald, Hargla küla, 67 Võru-Mõniste-Valga tee
85501:001:0866;Riigiomand;Valga vald, Hargla küla, 67 Võru-Mõniste-Valga tee
85501:001:0886;Riigiomand;Valga vald, Laanemetsa küla, 67 Võru-Mõniste-Valga tee
85501:001:0953;Riigiomand;Valga vald, Koobassaare küla, 23114 Laatre-Lüllemäe-Hargla tee
85501:001:0997;Riigiomand;Valga vald, Hargla küla, 67 Võru-Mõniste-Valga tee
85501:001:1000;Riigiomand;Valga vald, Hargla küla, 67 Võru-Mõniste-Valga tee
85501:001:1002;Riigiomand;Valga vald, Hargla küla, 67 Võru-Mõniste-Valga tee
85501:001:1004;Riigiomand;Valga vald, Hargla küla, 67 Võru-Mõniste-Valga tee
85501:001:1033;Riigiomand;Valga vald, Tsirgumäe küla, 23209 Laanemetsa-Taheva sanatooriumi tee
85501:001:1042;Riigiomand;Valga vald, Tsirgumäe küla, 23209 Laanemetsa-Taheva sanatooriumi tee
85501:001:1043;Riigiomand;Valga vald, Tsirgumäe küla, 23209 Laanemetsa-Taheva sanatooriumi tee
85501:001:1044;Riigiomand;Valga vald, Tsirgumäe küla, 23209 Laanemetsa-Taheva sanatooriumi tee
85501:001:1045;Riigiomand;Valga vald, Tsirgumäe küla, Koiva-Mustjõe maastikukaitseala 22
85501:001:1046;Riigiomand;Valga vald, Tsirgumäe küla, Koiva-Mustjõe maastikukaitseala 21
85501:001:1047;Riigiomand;Valga vald, Laanemetsa küla, Taheva metskond 8
85501:001:1055;Riigiomand;Valga vald, Laanemetsa küla, Karula metskond 37
